year,state_id,C-Breast Cancer Screening,C-Colorectal Cancer Screening,C-Care for Older Adults - Pain Assessment,C-Osteoporosis Management in Women who had a Fracture,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Diabetes Care - Blood Sugar Controlled,C-Controlling Blood Pressure,C-Rheumatoid Arthritis Management,C-Reducing the Risk of Falling,C-Plan All-Cause Readmissions,C-Getting Needed Care,C-Annual Flu Vaccine,C-Getting Appointments and Care Quickly,C-Customer Service,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Care Coordination,C-Complaints about the Health Plan,C-Members Choosing to Leave the Plan,C-Beneficiary Access and Performance Problems,C-Health Plan Quality Improvement,C-Plan Makes Timely Decisions about Appeals,C-Improving or Maintaining Physical Health,C-Reviewing Appeals Decisions,C-Call Center - Foreign Language Interpreter and TTY Availability,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Appeals Auto-Forward,D-Appeals Upheld,D-Complaints about the Drug Plan,D-Members Choosing to Leave the Plan,D-Beneficiary Access and Performance Problems,D-Drug Plan Quality Improvement,D-Rating of Drug Plan,C-Improving or Maintaining Mental Health,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Medication Adherence for Cholesterol (Statins),D-MTM Program Completion Rate for CMR,C-Improving Bladder Control,C-Medication Reconciliation Post-Discharge,C-Monitoring Physical Activity,C-Adult BMI Assessment,C-Special Needs Plan (SNP) Care Management,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Functional Status Assessment,C-Statin Therapy for Patients with Cardiovascular Disease,D-Statin Use in Persons with Diabetes (SUPD),Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,Amputation of a lower extremity attributable to diabetes,Arthritis among adults aged >= 18 years,Arthritis among adults aged >= 18 years who are obese,Arthritis among adults aged >= 18 years who have diabetes,Arthritis among adults aged >= 18 years who have heart disease,Awareness of high blood pressure among adults aged >= 18 years,"Cancer of the colon and rectum (colorectal), incidence","Cancer of the colon and rectum (colorectal), mortality","Cancer of the female breast, mortality",Cholesterol screening among adults aged >= 18 years,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,Fair or poor health among adults aged >= 18 years with arthritis,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Foot examination among adults aged >= 18 years with diagnosed diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,High cholesterol prevalence among adults aged >= 18 years,Hospitalization for acute myocardial infarction,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,Hospitalization for stroke,Hospitalization with diabetes as a listed diagnosis,Incidence of treated end-stage renal disease,Incidence of treated end-stage renal disease attributed to diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,"Invasive cancer of the female breast, incidence",Mammography use among women aged 50-74 years,Mortality due to diabetes reported as any listed cause of death,Mortality from cerebrovascular disease (stroke),Mortality from coronary heart disease,Mortality from diseases of the heart,Mortality from heart failure,Mortality from total cardiovascular diseases,Mortality with diabetic ketoacidosis reported as any listed cause of death,Mortality with end-stage renal disease,Osteoporosis-All Females,Osteoporosis-Females 65 and older,Physical inactivity among adults aged >= 18 years with arthritis,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,Prevalence of chronic kidney disease among adults aged >= 18 years,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,seasonal influenca vaccine coverage for 65 and older,american_indian_alaska_native,asian,black,hawaiian_pacific_islander,white,population,personal_income,income_per_capita
2018,AK,79.6510067114094,75.7248322147651,,54.651006711409394,75.57181208053692,94.2255033557047,89.15704697986577,80.15302013422819,80.92080536912752,54.28053691275168,8.210738255033558,85.78926174496644,76.96510067114095,77.64697986577181,91.34765100671142,87.0,85.98523489932886,86.19597315436242,0.06696644295302015,3.319463087248322,60.0,,93.49261744966444,68.4268456375839,92.91006711409396,99.67114093959732,96.40231650348755,2.00222474675755,85.24068288680614,0.06928501796507255,7.564480658621856,56.62757986797761,,80.65827368186503,84.58791946308725,87.96908336350722,98.84064508853051,79.39642926774921,81.43706654040052,78.47898504303262,14.753669609781912,49.412080536912754,57.276510067114096,54.578523489932884,94.58791946308725,,,,,,,,2.72,23.8,30.7,31.7,54.2,,42.3,15.1,18.8,,,33.0,59.0,,,,15.53,10.85,22.61,143.45,152.0,73.0,,20.5,54.2,52.6,121.9,66.4,42.4,40.0,67.1,129.7,72.0,185.3,,44.9,7.03,7.57,21.2,,44.0,74.1,79.7,2.5,24.9,8.7,,,,,57.2,,51.6,15.1024,6.2895,3.4168,1.0791,64.3519,737717.0,44102.7,59783.0
2018,AL,76.96849156381167,76.51462307276732,96.1983360835293,52.340264267290756,73.12883368657275,96.86290934214354,83.59162926484645,74.54566398620288,77.51626929600586,51.56017277563063,9.501820741387192,85.20453767718782,72.03745322520066,77.66014161113971,91.61674572593097,86.93158429201385,87.01894640199201,87.0117768163924,0.1030254436271454,6.0560248098740805,67.61397165773178,,89.56450963534023,65.53379929767694,90.65798763081543,95.03867074120396,95.00705060247289,2.4378613924673025,86.26685395946546,0.08025861091615828,6.491040444064117,71.069616152891,,83.42876534045715,85.07447377716827,89.84062280263984,98.62981528132163,80.26740943691627,82.40571181774011,79.25790638665443,39.5862117367597,44.529220172048376,53.62165461496904,48.39002046710718,97.88642573660807,78.61077367069917,94.52420843227331,92.06313568336141,,,,63.0,,31.9,39.4,53.4,55.6,,42.8,15.5,21.5,,63.9,39.7,68.4,64.1,64.1,,,29.56,,,2312.0,1089.0,44.4,28.6,60.7,63.8,121.4,79.9,53.5,51.5,83.9,224.7,104.2,294.8,1.8,60.2,10.24,11.86,36.2,45.2,40.6,79.2,73.3,3.5,40.1,12.8,,,,,58.2,,62.4,0.4514,1.3318,26.7405,0.0368,67.654,4976400.0,207054.0,41607.0
2018,AR,69.81854853714992,67.91775887348263,90.8645958986731,34.42350868789258,65.56460972800566,94.81900268745754,72.9342975694752,63.27456365730487,76.52026917401281,55.5965570366401,9.794918168218457,83.99219797635011,70.2760809835051,77.45488986205797,89.87514624770182,84.89878937349376,84.56961336846744,86.58894963381127,0.20859417914414816,11.893254776881959,65.53502891356635,,84.44880678098671,66.00163018704659,92.59873494129549,94.79043459688764,96.41336440066586,1.4098015174648313,85.63541814387877,0.10207484858847048,8.71350604793153,75.93837227392947,,82.69302186136122,85.95694297435739,89.50449711005386,98.92612151142758,79.87866193288092,81.19793582809397,78.44326844759264,33.23420640803888,41.65059057315739,47.22157496825256,46.68093419965615,95.80180260641109,65.29671600370028,87.86795954347221,81.17565185116452,,,,,4.28,30.3,36.0,43.7,48.0,,44.0,15.6,20.3,,,40.6,64.3,,,,19.08,23.25,29.65,220.32,1382.0,600.0,22.1,34.2,48.5,52.4,119.5,71.4,84.7,41.5,130.8,217.4,114.4,278.9,2.1,67.9,10.0,11.26,35.4,39.8,35.2,83.3,80.5,3.5,39.4,12.5,,,,,51.7,,56.0,0.6952,1.5777,15.154,0.3118,76.5172,2997270.0,130865.0,43661.0
2018,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45348837209302,0.6418604651162791,90.44186046511628,0.04837209302325582,8.162790697674419,86.04651162790698,,83.0,,89.40697674418605,99.0,80.43023255813954,82.02325581395348,79.26744186046511,15.616279069767442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,AZ,73.18292718904885,70.45464730504884,94.91089319618602,41.59511647621601,70.39714123301121,96.76937514986646,78.41941811792672,74.33154048886362,75.01819133810848,56.80906185660777,8.867723416510362,82.13126674589836,70.80387110082818,76.90619952789166,90.1915836257639,84.66123296694538,86.18374718997086,84.18265247997525,0.13360961129807097,8.234599928890947,54.77236254283112,,88.07315898513238,68.24616765974847,92.08022743596877,96.56663373222271,96.48303966234192,2.328314908591816,86.80521427719927,0.10107014836896858,7.881636494914175,62.712202676672014,,83.28565013477396,83.53193915468259,89.28198690168047,98.93559608569849,79.62748535822213,81.74022624555398,78.81370679392963,37.7013770467952,44.42527517930355,49.566066066066064,50.64799751950804,95.90430882124954,68.65788562248326,93.09797825950886,88.58686390285631,,,,59.9,4.21,23.2,28.5,24.5,31.2,,32.3,12.6,18.5,,44.6,33.9,64.6,67.2,64.1,,13.74,18.97,21.23,182.67,2826.0,1490.0,20.6,26.7,52.7,50.7,114.2,72.5,60.0,31.0,82.1,136.4,65.3,184.1,1.4,38.0,12.44,13.03,30.0,35.0,43.0,84.8,79.8,3.1,30.4,9.6,,,,,54.0,,55.9,4.6098,3.3169,4.6899,0.2184,77.9529,6969940.0,315732.0,45299.0
2018,CA,83.91105772560921,83.0435697342778,95.84003368726627,66.91003410563417,82.19746117510161,97.68658266588527,87.02468885154791,82.69786819070939,82.75690896814884,57.909337881186644,9.089316761086149,83.2222392478149,78.47036186222583,78.6772822632539,89.71243210405946,86.86627609594048,88.46175542512835,84.58125134839062,0.08763019383819148,5.229263528032819,83.15206477443253,,95.47843573383304,67.56093233630435,94.85289373659563,98.13283840625459,97.16547714861403,1.1492268850911214,89.04233483538152,0.07512728987525324,6.372572344918043,81.35399220795162,,85.02186308457378,84.70681767908019,89.70567315830348,99.11849868310478,81.28970309199171,83.15798042913309,80.37268423580998,47.6177193796668,44.80732009175514,72.06375705398665,58.8631628415408,97.94158993909261,75.97191209619677,96.41854153634515,92.03734303873223,,,,,,19.3,25.6,29.4,33.8,,34.2,12.5,19.3,,,28.9,69.9,,,,,23.83,,,16432.0,8895.0,33.0,35.7,56.3,58.8,119.8,80.8,73.5,37.0,83.4,139.7,80.9,195.4,1.3,52.4,12.67,13.82,20.5,23.9,34.9,80.2,71.2,2.8,28.0,9.8,,,,,62.3,,57.0,0.7655,14.7169,5.7736,0.3937,59.4973,39535900.0,2431820.0,61509.0
2018,CO,74.98075666187373,76.4992779468793,94.58167084366504,49.29825749782385,76.05322651926824,97.0172906616073,82.69050064424567,82.37813797439202,81.10792516422987,53.37685570764318,7.995944311518944,82.6684748598792,77.903323447788,79.35566536975567,90.67413059197511,86.04535560755292,86.71768378951951,85.79582154323339,0.09879787492297062,4.7869227465406805,69.19011783159978,,94.87457584158416,68.14795551529978,95.74699089108911,97.82123419136013,97.58098603959667,1.5798054865226534,88.4228895909624,0.08255711863977937,6.167003794275828,70.35808263542748,,83.59904576809554,86.0444660248569,89.40359679653079,99.12478050625388,80.62706209042835,82.93824956354528,80.32227120916934,42.720058573488856,44.114756649424535,65.94354573659716,54.28425239491326,97.1397110542598,72.92851682211305,98.34161420489673,87.25524008322974,,,,,2.41,21.5,29.6,27.9,46.9,,32.5,11.8,18.9,,,29.0,67.2,,,,11.04,17.5,16.89,130.64,1140.0,577.0,39.4,42.8,60.8,62.3,129.0,70.9,72.0,34.7,61.8,124.3,94.4,172.8,1.4,63.1,10.4,11.19,19.6,50.6,39.8,90.4,86.3,2.1,21.8,6.6,,,,,68.1,,62.0,0.9682,3.1652,4.1713,0.1332,84.1124,5677250.0,331955.0,58471.0
2018,CT,76.54664199040019,73.9744446771498,89.44145753697856,46.10509801191459,76.45795275321312,95.25801943042276,82.46129516205554,75.4054786440591,80.02685894778234,54.84968990823335,9.556955586994524,84.16761209511864,76.6321856540817,79.15250838733198,90.35702908331778,86.1470137626027,84.00309452403789,86.16588037689827,0.08642110077234434,8.741288152400166,77.34603435086774,,94.79076606130029,68.4307134034014,94.62501763099293,97.42630888430193,96.28395123289037,1.669455137752725,87.91997764268434,0.07089643720035446,7.676852124796744,74.67212462937228,,82.44086753290327,85.19206883139641,89.30912102911348,98.80999484684088,80.9028472540414,83.25741728800851,79.85459843455935,37.16133240431841,48.12216461577258,49.932369648192235,53.05146967682924,96.1734590512175,58.897796180649834,90.71923300648163,79.8853872361642,,,,,,23.2,30.9,29.2,36.1,,33.8,10.7,17.4,,,25.9,73.9,,,,,30.18,,,1125.0,501.0,29.0,34.4,59.0,62.7,136.7,82.4,43.0,27.2,75.5,142.1,81.5,183.5,1.2,46.0,12.25,13.35,24.6,37.4,24.6,78.6,79.3,2.3,32.3,8.4,,,,,69.4,,67.8,0.2661,4.6423,10.9597,0.0285,75.2418,3611320.0,264263.0,73176.0
2018,DC,80.45903829029386,83.26968579061189,93.35822592873389,54.94999012963085,79.89568757155578,97.02436076835008,83.2225543823941,80.27038544714414,81.10520290039435,56.14133061951406,9.098153034300791,83.34563032693042,78.37692405546368,77.77566467370563,89.27935377178476,85.4062460246788,86.30924818725353,85.48428953059407,0.16634524869609466,5.7184200483399055,75.7467903902377,,96.8940580377706,69.91406198591827,97.28117391590446,98.32505362989725,95.59267128088312,2.484191057913007,87.71799010114051,0.10306871846438383,7.2598071898369225,71.13656356031093,,82.58749169524698,85.95439889451866,88.9794939936435,98.9221583848135,80.02423567850924,81.97942660179882,79.12491248227205,32.77502109401648,43.158631217402366,50.81424802110818,56.40306576771403,98.06239664164865,76.2557856272838,90.75625473843822,83.96853677028052,,,,38.2,5.7,20.4,29.5,29.9,29.2,,37.9,15.1,26.2,,55.9,30.5,72.7,73.1,71.2,,12.43,25.33,27.03,245.92,405.0,126.0,53.8,32.3,61.3,60.8,140.4,79.4,75.8,35.4,103.7,187.0,60.9,241.1,3.8,51.6,,,27.2,,42.9,66.3,76.9,2.7,23.2,9.1,,,,,50.6,,,0.275,3.9203,45.5228,0.0565,42.2443,685632.0,56572.9,82512.0
2018,DE,74.75414986037853,74.96257368910952,95.11929472157125,48.74714114684391,72.43526993484332,95.17390629847968,83.85576326403971,77.53281104560968,77.6786766987279,55.62352621780949,9.031957803288861,83.29882873099596,74.02268848898542,77.98080204778157,90.3188023580515,85.61375271486193,84.50027148619299,86.0738442444927,0.18091180577102078,9.329429103319889,58.61388402042216,,89.2558175612783,67.44490773232052,88.10188488985418,97.87459260959376,95.264885917046,2.1352660258785017,86.35806539509537,0.07887251121017609,6.779343724582994,62.2002241801783,,82.63896042775156,85.62597531271932,88.96713424757822,98.70230793256292,80.5328971377926,82.43361920650644,79.35920311766853,24.935281007246754,44.015009308098044,58.89121160409557,52.09032733478126,96.61844554762644,77.31927240263363,92.03392478518022,89.92322285459213,,,,41.2,3.55,22.9,29.1,31.7,58.2,,37.8,13.3,21.4,,69.1,32.9,71.4,75.2,50.5,,11.81,21.15,26.58,168.05,390.0,168.0,19.1,48.2,61.4,66.7,133.7,83.7,58.2,46.4,87.2,159.1,79.2,217.8,,62.8,9.93,10.68,31.0,45.3,33.2,78.7,79.9,3.3,23.9,10.2,,,,,60.6,,64.8,0.4546,4.0348,22.498,0.0926,68.2176,971072.0,51310.5,52839.0
