year,contract_id,C-Adult BMI Assessment,C-Annual Flu Vaccine,C-Breast Cancer Screening,C-Call Center - Foreign Language Interpreter and TTY Availability,C-Care Coordination,C-Care for Older Adults - Functional Status Assessment,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Pain Assessment,C-Colorectal Cancer Screening,C-Complaints about the Health Plan,C-Customer Service,C-Diabetes Care - Blood Sugar Controlled,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Getting Appointments and Care Quickly,C-Getting Needed Care,C-Health Plan Quality Improvement,C-Improving Bladder Control,C-Improving or Maintaining Mental Health,C-Improving or Maintaining Physical Health,C-Medication Reconciliation Post-Discharge,C-Members Choosing to Leave the Plan,C-Monitoring Physical Activity,C-Osteoporosis Management in Women who had a Fracture,C-Plan All-Cause Readmissions,C-Plan Makes Timely Decisions about Appeals,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Reducing the Risk of Falling,C-Reviewing Appeals Decisions,C-Rheumatoid Arthritis Management,C-Special Needs Plan (SNP) Care Management,C-Statin Therapy for Patients with Cardiovascular Disease,D-Appeals Auto-Forward,D-Appeals Upheld,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Complaints about the Drug Plan,D-Drug Plan Quality Improvement,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-MTM Program Completion Rate for CMR,D-Medication Adherence for Cholesterol (Statins),D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Members Choosing to Leave the Plan,D-Rating of Drug Plan,D-Statin Use in Persons with Diabetes (SUPD),Financial Reasons for Disenrollment,Problems Getting Information and Help from the Plan,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Problems with Prescription Drug Benefits and Coverage
2020,E0654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.06,,90.0,,54.0,83.0,84.0,87.0,,80.0,78.0,,,,,
2020,E3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,87.0,,0.01,,94.0,,56.0,86.0,87.0,89.0,,88.0,80.0,,,,,
2020,E4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,0.0,,93.0,,37.0,86.0,87.0,88.0,,84.0,75.0,,,,,
2020,H0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H0028,99.0,79.0,74.0,100.0,88.0,95.0,96.0,98.0,76.0,0.2,91.0,86.0,75.0,98.0,82.0,84.0,,39.0,81.0,69.0,79.0,10.0,49.0,47.0,8.0,100.0,86.0,86.0,57.0,100.0,78.0,77.0,83.0,3.6,73.0,97.0,0.2,,90.0,99.0,79.0,86.0,85.0,87.0,10.0,87.0,82.0,14.0,14.0,28.0,25.0,
2020,H0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,82.0,,84.0,,,,,,,,
2020,H0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H0062,94.0,65.0,,97.0,83.0,,,,60.0,1.96,91.0,67.0,58.0,98.0,72.0,,,,,,53.0,32.0,52.0,,0.0,,,85.0,51.0,,,,,,,98.0,1.96,,,99.0,88.0,80.0,80.0,82.0,32.0,82.0,89.0,22.0,22.0,31.0,47.0,
2020,H0088,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,100.0,,,,,,,,,,,,
2020,H0104,100.0,76.0,77.0,86.0,86.0,,,,78.0,0.03,93.0,83.0,71.0,97.0,75.0,86.0,,47.0,80.0,70.0,80.0,3.0,50.0,58.0,10.0,99.0,87.0,89.0,46.0,94.0,77.0,,77.0,1.0,90.0,88.0,0.03,,91.0,99.0,65.0,83.0,82.0,85.0,3.0,86.0,77.0,23.0,7.0,7.0,4.0,9.0
