year,star,lower,upper,higher_is_better,is_MAPD,is_PDP,measure
2018,1,0.0,56.0,1,0,0,C-Breast Cancer Screening
2018,2,56.0,70.0,1,0,0,C-Breast Cancer Screening
2018,3,70.0,78.0,1,0,0,C-Breast Cancer Screening
2018,4,78.0,84.0,1,0,0,C-Breast Cancer Screening
2018,5,84.0,100.0,1,0,0,C-Breast Cancer Screening
2018,1,0.0,54.0,1,0,0,C-Colorectal Cancer Screening
2018,2,54.0,63.0,1,0,0,C-Colorectal Cancer Screening
2018,3,63.0,72.0,1,0,0,C-Colorectal Cancer Screening
2018,4,72.0,80.0,1,0,0,C-Colorectal Cancer Screening
2018,5,80.0,100.0,1,0,0,C-Colorectal Cancer Screening
2018,1,0.0,40.0,1,0,0,C-Care for Older Adults - Pain Assessment
2018,2,40.0,62.0,1,0,0,C-Care for Older Adults - Pain Assessment
2018,3,62.0,80.0,1,0,0,C-Care for Older Adults - Pain Assessment
2018,4,80.0,94.0,1,0,0,C-Care for Older Adults - Pain Assessment
2018,5,94.0,100.0,1,0,0,C-Care for Older Adults - Pain Assessment
2018,1,0.0,24.0,1,0,0,C-Osteoporosis Management in Women who had a Fracture
2018,2,24.0,42.0,1,0,0,C-Osteoporosis Management in Women who had a Fracture
2018,3,42.0,52.0,1,0,0,C-Osteoporosis Management in Women who had a Fracture
2018,4,52.0,71.0,1,0,0,C-Osteoporosis Management in Women who had a Fracture
2018,5,71.0,100.0,1,0,0,C-Osteoporosis Management in Women who had a Fracture
2018,1,0.0,47.0,1,0,0,C-Diabetes Care - Eye Exam
2018,2,47.0,59.0,1,0,0,C-Diabetes Care - Eye Exam
2018,3,59.0,72.0,1,0,0,C-Diabetes Care - Eye Exam
2018,4,72.0,81.0,1,0,0,C-Diabetes Care - Eye Exam
2018,5,81.0,100.0,1,0,0,C-Diabetes Care - Eye Exam
2018,1,0.0,92.0,1,0,0,C-Diabetes Care - Kidney Disease Monitoring
2018,2,92.0,94.0,1,0,0,C-Diabetes Care - Kidney Disease Monitoring
2018,3,94.0,96.0,1,0,0,C-Diabetes Care - Kidney Disease Monitoring
2018,4,96.0,98.0,1,0,0,C-Diabetes Care - Kidney Disease Monitoring
2018,5,98.0,100.0,1,0,0,C-Diabetes Care - Kidney Disease Monitoring
2018,1,0.0,40.0,1,0,0,C-Diabetes Care - Blood Sugar Controlled
2018,2,40.0,64.0,1,0,0,C-Diabetes Care - Blood Sugar Controlled
2018,3,64.0,73.0,1,0,0,C-Diabetes Care - Blood Sugar Controlled
2018,4,73.0,80.0,1,0,0,C-Diabetes Care - Blood Sugar Controlled
2018,5,80.0,100.0,1,0,0,C-Diabetes Care - Blood Sugar Controlled
2018,1,0.0,55.0,1,0,0,C-Controlling Blood Pressure
2018,2,55.0,67.0,1,0,0,C-Controlling Blood Pressure
2018,3,67.0,75.0,1,0,0,C-Controlling Blood Pressure
2018,4,75.0,86.0,1,0,0,C-Controlling Blood Pressure
2018,5,86.0,100.0,1,0,0,C-Controlling Blood Pressure
2018,1,0.0,65.0,1,0,0,C-Rheumatoid Arthritis Management
2018,2,65.0,72.0,1,0,0,C-Rheumatoid Arthritis Management
2018,3,72.0,78.0,1,0,0,C-Rheumatoid Arthritis Management
2018,4,78.0,86.0,1,0,0,C-Rheumatoid Arthritis Management
2018,5,86.0,100.0,1,0,0,C-Rheumatoid Arthritis Management
2018,1,0.0,52.0,1,0,0,C-Reducing the Risk of Falling
2018,2,52.0,59.0,1,0,0,C-Reducing the Risk of Falling
2018,3,59.0,66.0,1,0,0,C-Reducing the Risk of Falling
2018,4,66.0,74.0,1,0,0,C-Reducing the Risk of Falling
2018,5,74.0,100.0,1,0,0,C-Reducing the Risk of Falling
2018,1,0.0,39.0,1,0,0,C-Improving Bladder Control
2018,2,39.0,43.0,1,0,0,C-Improving Bladder Control
2018,3,43.0,46.0,1,0,0,C-Improving Bladder Control
2018,4,46.0,50.0,1,0,0,C-Improving Bladder Control
2018,5,50.0,100.0,1,0,0,C-Improving Bladder Control
2018,1,0.0,19.0,1,0,0,C-Medication Reconciliation Post-Discharge
2018,2,19.0,37.0,1,0,0,C-Medication Reconciliation Post-Discharge
2018,3,37.0,55.0,1,0,0,C-Medication Reconciliation Post-Discharge
2018,4,55.0,68.0,1,0,0,C-Medication Reconciliation Post-Discharge
2018,5,68.0,100.0,1,0,0,C-Medication Reconciliation Post-Discharge
2018,1,0.0,64.0,1,0,0,C-Annual Flu Vaccine
2018,2,64.0,68.0,1,0,0,C-Annual Flu Vaccine
2018,3,68.0,74.0,1,0,0,C-Annual Flu Vaccine
2018,4,74.0,77.0,1,0,0,C-Annual Flu Vaccine
2018,5,77.0,100.0,1,0,0,C-Annual Flu Vaccine
2018,1,18.0,100.0,0,0,0,C-Plan All-Cause Readmissions
2018,2,11.0,18.0,0,0,0,C-Plan All-Cause Readmissions
2018,3,9.0,11.0,0,0,0,C-Plan All-Cause Readmissions
2018,4,6.0,9.0,0,0,0,C-Plan All-Cause Readmissions
2018,5,0.0,6.0,0,0,0,C-Plan All-Cause Readmissions
2018,1,0.0,80.0,1,0,0,C-Getting Needed Care
2018,2,80.0,82.0,1,0,0,C-Getting Needed Care
2018,3,82.0,84.0,1,0,0,C-Getting Needed Care
2018,4,84.0,86.0,1,0,0,C-Getting Needed Care
2018,5,86.0,100.0,1,0,0,C-Getting Needed Care
2018,1,0.0,74.0,1,0,0,C-Getting Appointments and Care Quickly
2018,2,74.0,76.0,1,0,0,C-Getting Appointments and Care Quickly
2018,3,76.0,79.0,1,0,0,C-Getting Appointments and Care Quickly
2018,4,79.0,81.0,1,0,0,C-Getting Appointments and Care Quickly
2018,5,81.0,100.0,1,0,0,C-Getting Appointments and Care Quickly
2018,1,0.0,88.0,1,0,0,C-Customer Service
2018,2,88.0,89.0,1,0,0,C-Customer Service
2018,3,89.0,91.0,1,0,0,C-Customer Service
2018,4,91.0,92.0,1,0,0,C-Customer Service
2018,5,92.0,100.0,1,0,0,C-Customer Service
2018,1,0.0,83.0,1,0,0,C-Rating of Health Care Quality
2018,2,83.0,85.0,1,0,0,C-Rating of Health Care Quality
2018,3,85.0,86.0,1,0,0,C-Rating of Health Care Quality
2018,4,86.0,87.0,1,0,0,C-Rating of Health Care Quality
2018,5,87.0,100.0,1,0,0,C-Rating of Health Care Quality
2018,1,0.0,82.0,1,0,0,C-Rating of Health Plan
2018,2,82.0,84.0,1,0,0,C-Rating of Health Plan
2018,3,84.0,86.0,1,0,0,C-Rating of Health Plan
2018,4,86.0,88.0,1,0,0,C-Rating of Health Plan
2018,5,88.0,100.0,1,0,0,C-Rating of Health Plan
2018,1,0.0,83.0,1,0,0,C-Care Coordination
2018,2,83.0,85.0,1,0,0,C-Care Coordination
2018,3,85.0,87.0,1,0,0,C-Care Coordination
2018,4,87.0,88.0,1,0,0,C-Care Coordination
2018,5,88.0,100.0,1,0,0,C-Care Coordination
2018,1,0.86,100.0,0,0,0,C-Complaints about the Health Plan
2018,2,0.53,0.86,0,0,0,C-Complaints about the Health Plan
2018,3,0.31,0.53,0,0,0,C-Complaints about the Health Plan
2018,4,0.14,0.31,0,0,0,C-Complaints about the Health Plan
2018,5,0.0,0.14,0,0,0,C-Complaints about the Health Plan
2018,1,28.0,100.0,0,0,0,C-Members Choosing to Leave the Plan
2018,2,18.0,28.0,0,0,0,C-Members Choosing to Leave the Plan
2018,3,13.0,18.0,0,0,0,C-Members Choosing to Leave the Plan
2018,4,8.0,13.0,0,0,0,C-Members Choosing to Leave the Plan
2018,5,0.0,8.0,0,0,0,C-Members Choosing to Leave the Plan
2018,1,0.0,20.0,1,0,0,C-Beneficiary Access and Performance Problems
2018,2,20.0,40.0,1,0,0,C-Beneficiary Access and Performance Problems
2018,3,40.0,60.0,1,0,0,C-Beneficiary Access and Performance Problems
2018,4,60.0,80.0,1,0,0,C-Beneficiary Access and Performance Problems
2018,5,80.0,100.0,1,0,0,C-Beneficiary Access and Performance Problems
2018,1,0.0,63.0,1,0,0,C-Improving or Maintaining Physical Health
2018,2,63.0,67.0,1,0,0,C-Improving or Maintaining Physical Health
2018,3,67.0,69.0,1,0,0,C-Improving or Maintaining Physical Health
2018,4,69.0,72.0,1,0,0,C-Improving or Maintaining Physical Health
2018,5,72.0,100.0,1,0,0,C-Improving or Maintaining Physical Health
2018,1,0.0,-0.2,1,0,0,C-Health Plan Quality Improvement
2018,2,-0.2,0.0,1,0,0,C-Health Plan Quality Improvement
2018,3,0.0,0.16,1,0,0,C-Health Plan Quality Improvement
2018,4,0.16,0.43,1,0,0,C-Health Plan Quality Improvement
